S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate,n_days
4,110,0.2309,407.8061,-7233.66,7651.22,0.503,4728
6,41,0.2309,407.8712,-4830.36,7652.44,0.5047,4728
10,89,0.2306,407.2977,-5537.82,7641.68,0.5023,4728
13,24,0.2305,407.238,-4597.64,7640.56,0.5034,4728
4,108,0.2305,407.1985,-6978.66,7639.82,0.5025,4728
14,26,0.2303,406.8542,-5328.09,7633.36,0.5053,4728
4,83,0.23,406.2008,-5606.88,7621.1,0.5013,4728
11,30,0.2298,405.8788,-4502.89,7615.06,0.5042,4728
9,95,0.2297,405.6678,-6031.98,7611.1,0.5021,4728
1,29,0.2297,405.7818,-5576.25,7613.24,0.4981,4728
15,26,0.2294,405.2552,-4589.09,7603.36,0.5038,4728
2,33,0.2294,405.1561,-6501.85,7601.5,0.4989,4728
8,89,0.2287,404.0411,-7036.4,7580.58,0.5017,4728
1,30,0.2287,403.9974,-5963.25,7579.76,0.4973,4728
4,22,0.2283,403.3173,-6047.25,7567.0,0.4981,4728
3,96,0.2283,403.3258,-6975.32,7567.16,0.504,4728
12,75,0.2282,403.1062,-5181.35,7563.04,0.5015,4728
15,24,0.2281,402.9847,-5086.0,7560.76,0.5042,4728
5,112,0.228,402.7811,-7634.54,7556.94,0.5025,4728
4,112,0.2279,402.6361,-7223.66,7554.22,0.5032,4728
8,87,0.2277,402.1276,-7853.3,7544.68,0.5006,4728
13,27,0.2275,401.8195,-4937.55,7538.9,0.5047,4728
9,96,0.2274,401.6287,-5866.02,7535.32,0.5023,4728
14,24,0.2274,401.7023,-4602.25,7536.7,0.5032,4728
16,22,0.2272,401.4123,-4756.09,7531.26,0.5036,4728
4,42,0.227,400.89,-6718.81,7521.46,0.5023,4728
3,40,0.2269,400.8644,-5970.14,7520.98,0.5019,4728
7,72,0.2266,400.1854,-5796.5,7508.24,0.5021,4728
11,31,0.2266,400.2334,-5838.81,7509.14,0.5044,4728
12,35,0.2264,399.8571,-5498.75,7502.08,0.5017,4728
6,87,0.2263,399.7888,-7204.68,7500.8,0.5002,4728
7,36,0.2263,399.7664,-5176.49,7500.38,0.504,4728
11,89,0.2262,399.5532,-5532.96,7496.38,0.5025,4728
13,74,0.2262,399.484,-5075.19,7495.08,0.5032,4728
14,32,0.2261,399.453,-4830.91,7494.5,0.5021,4728
8,86,0.2258,398.8113,-7504.02,7482.46,0.5002,4728
4,100,0.2258,398.8838,-7302.66,7483.82,0.5036,4728
