date,SHFE_Copper_Stocks_kt
2013-02-20 00:00:00,-947.0
2013-02-21 00:00:00,14387.0
2013-02-22 00:00:00,14387.0
2013-02-25 00:00:00,14387.0
2013-02-26 00:00:00,14387.0
2013-02-27 00:00:00,14387.0
2013-02-28 00:00:00,14387.0
2013-03-01 00:00:00,14387.0
2013-03-04 00:00:00,14387.0
2013-03-05 00:00:00,14387.0
2013-03-06 00:00:00,14387.0
2013-03-07 00:00:00,14387.0
2013-03-08 00:00:00,14387.0
2013-03-11 00:00:00,14387.0
2013-03-12 00:00:00,14387.0
2013-03-13 00:00:00,1894.0
2013-03-14 00:00:00,-774.0
2013-03-15 00:00:00,2775.0
2013-03-18 00:00:00,-646.0
2013-03-19 00:00:00,-1473.0
2013-03-20 00:00:00,-1771.0
2013-03-21 00:00:00,-3071.0
2013-03-22 00:00:00,-897.0
2013-03-25 00:00:00,-1577.0
2013-03-26 00:00:00,-1176.0
2013-03-27 00:00:00,-773.0
2013-03-28 00:00:00,-749.0
2013-03-29 00:00:00,-77.0
2013-04-01 00:00:00,-1347.0
2013-04-02 00:00:00,-2770.0
2013-04-03 00:00:00,-1323.0
2013-04-04 00:00:00,-1323.0
2013-04-05 00:00:00,-1323.0
2013-04-08 00:00:00,-5889.0
2013-04-09 00:00:00,-700.0
2013-04-10 00:00:00,-624.0
2013-04-11 00:00:00,-977.0
2013-04-12 00:00:00,-148.0
2013-04-15 00:00:00,4221.0
2013-04-16 00:00:00,3198.0
2013-04-17 00:00:00,-950.0
2013-04-18 00:00:00,-398.0
2013-04-19 00:00:00,-376.0
2013-04-22 00:00:00,-972.0
2013-04-23 00:00:00,-450.0
2013-04-24 00:00:00,-596.0
2013-04-25 00:00:00,226.0
2013-04-26 00:00:00,231.0
2013-04-29 00:00:00,231.0
2013-04-30 00:00:00,231.0
2013-05-01 00:00:00,231.0
2013-05-02 00:00:00,-624.0
2013-05-03 00:00:00,-725.0
2013-05-06 00:00:00,-577.0
2013-05-07 00:00:00,-325.0
2013-05-08 00:00:00,-353.0
2013-05-09 00:00:00,-300.0
2013-05-10 00:00:00,-252.0
2013-05-13 00:00:00,-200.0
2013-05-14 00:00:00,-451.0
2013-05-15 00:00:00,2148.0
2013-05-16 00:00:00,597.0
2013-05-17 00:00:00,0.0
2013-05-20 00:00:00,-1476.0
2013-05-21 00:00:00,-3051.0
2013-05-22 00:00:00,-1598.0
2013-05-23 00:00:00,-697.0
2013-05-24 00:00:00,-1424.0
2013-05-27 00:00:00,-772.0
2013-05-28 00:00:00,-600.0
2013-05-29 00:00:00,-2102.0
2013-05-30 00:00:00,300.0
2013-05-31 00:00:00,423.0
2013-06-03 00:00:00,1689.0
2013-06-04 00:00:00,-200.0
2013-06-05 00:00:00,-100.0
2013-06-06 00:00:00,0.0
2013-06-07 00:00:00,-550.0
2013-06-10 00:00:00,-550.0
2013-06-11 00:00:00,-550.0
2013-06-12 00:00:00,-550.0
2013-06-13 00:00:00,-1078.0
2013-06-14 00:00:00,974.0
2013-06-17 00:00:00,2403.0
2013-06-18 00:00:00,3980.0
2013-06-19 00:00:00,-376.0
2013-06-20 00:00:00,-2209.0
2013-06-21 00:00:00,-125.0
2013-06-24 00:00:00,-1024.0
2013-06-25 00:00:00,-2001.0
2013-06-26 00:00:00,100.0
2013-06-27 00:00:00,100.0
2013-06-28 00:00:00,-650.0
2013-07-01 00:00:00,0.0
2013-07-02 00:00:00,0.0
2013-07-03 00:00:00,0.0
2013-07-04 00:00:00,0.0
2013-07-05 00:00:00,0.0
2013-07-08 00:00:00,250.0
2013-07-09 00:00:00,100.0
2013-07-10 00:00:00,0.0
2013-07-11 00:00:00,-300.0
2013-07-12 00:00:00,100.0
2013-07-15 00:00:00,2175.0
2013-07-16 00:00:00,6851.0
2013-07-17 00:00:00,-501.0
2013-07-18 00:00:00,-149.0
2013-07-19 00:00:00,-2603.0
2013-07-22 00:00:00,-1225.0
2013-07-23 00:00:00,-400.0
2013-07-24 00:00:00,-875.0
2013-07-25 00:00:00,-1721.0
2013-07-26 00:00:00,-1878.0
2013-07-29 00:00:00,-575.0
2013-07-30 00:00:00,-574.0
2013-07-31 00:00:00,-1299.0
2013-08-01 00:00:00,-75.0
2013-08-02 00:00:00,-650.0
2013-08-05 00:00:00,-49.0
2013-08-06 00:00:00,-549.0
2013-08-07 00:00:00,-1624.0
2013-08-08 00:00:00,-700.0
2013-08-09 00:00:00,-250.0
2013-08-12 00:00:00,-200.0
2013-08-13 00:00:00,550.0
2013-08-14 00:00:00,-49.0
2013-08-15 00:00:00,302.0
2013-08-16 00:00:00,9813.0
2013-08-19 00:00:00,-300.0
2013-08-20 00:00:00,-1574.0
2013-08-21 00:00:00,-1750.0
2013-08-22 00:00:00,-3346.0
2013-08-23 00:00:00,-2499.0
2013-08-26 00:00:00,-2025.0
2013-08-27 00:00:00,-2598.0
2013-08-28 00:00:00,-924.0
2013-08-29 00:00:00,-1675.0
2013-08-30 00:00:00,-1275.0
2013-09-02 00:00:00,0.0
2013-09-03 00:00:00,0.0
2013-09-04 00:00:00,0.0
2013-09-05 00:00:00,0.0
2013-09-06 00:00:00,-1248.0
2013-09-09 00:00:00,-2000.0
2013-09-10 00:00:00,0.0
2013-09-11 00:00:00,25.0
2013-09-12 00:00:00,-25.0
2013-09-13 00:00:00,0.0
2013-09-16 00:00:00,999.0
2013-09-17 00:00:00,7482.0
2013-09-18 00:00:00,-199.0
2013-09-19 00:00:00,-199.0
2013-09-20 00:00:00,-199.0
2013-09-23 00:00:00,-652.0
2013-09-24 00:00:00,-2601.0
2013-09-25 00:00:00,-100.0
2013-09-26 00:00:00,-473.0
2013-09-27 00:00:00,-25.0
2013-09-30 00:00:00,-199.0
2013-10-01 00:00:00,-199.0
2013-10-02 00:00:00,-199.0
2013-10-03 00:00:00,-199.0
2013-10-04 00:00:00,-199.0
2013-10-07 00:00:00,-199.0
2013-10-08 00:00:00,0.0
2013-10-09 00:00:00,0.0
2013-10-10 00:00:00,499.0
2013-10-11 00:00:00,-375.0
2013-10-14 00:00:00,0.0
2013-10-15 00:00:00,706.0
2013-10-16 00:00:00,13250.0
2013-10-17 00:00:00,-1593.0
2013-10-18 00:00:00,-2277.0
2013-10-21 00:00:00,-877.0
2013-10-22 00:00:00,-2699.0
2013-10-23 00:00:00,-426.0
2013-10-24 00:00:00,-225.0
2013-10-25 00:00:00,-426.0
2013-10-28 00:00:00,0.0
2013-10-29 00:00:00,-149.0
2013-10-30 00:00:00,600.0
2013-10-31 00:00:00,0.0
2013-11-01 00:00:00,100.0
2013-11-04 00:00:00,99.0
2013-11-05 00:00:00,0.0
2013-11-06 00:00:00,0.0
2013-11-07 00:00:00,0.0
2013-11-08 00:00:00,22.0
2013-11-11 00:00:00,977.0
2013-11-12 00:00:00,-474.0
2013-11-13 00:00:00,-603.0
2013-11-14 00:00:00,-1801.0
2013-11-15 00:00:00,-1712.0
2013-11-18 00:00:00,8270.0
2013-11-19 00:00:00,-1159.0
2013-11-20 00:00:00,-1749.0
2013-11-21 00:00:00,-3657.0
2013-11-22 00:00:00,-2734.0
2013-11-25 00:00:00,-1328.0
